Ticker,Metric,Filed_Date,Period_End,Value,Form
BAC,Cash,2014-11-06,2013-12-31,131322000000.0,10-Q
BAC,Cash,2014-07-29,2013-12-31,131322000000.0,10-Q
BAC,Cash,2014-05-01,2013-12-31,131322000000.0,10-Q
BAC,Cash,2014-02-25,2013-12-31,131322000000.0,10-K
BAC,Cash,2015-04-29,2014-03-31,151645000000.0,10-Q
BAC,Cash,2014-05-01,2014-03-31,151645000000.0,10-Q
BAC,Cash,2015-07-29,2014-06-30,152899000000.0,10-Q
BAC,Cash,2014-07-29,2014-06-30,152899000000.0,10-Q
BAC,Cash,2015-10-30,2014-09-30,128659000000.0,10-Q
BAC,Cash,2014-11-06,2014-09-30,128659000000.0,10-Q
BAC,Cash,2016-05-02,2014-12-31,138589000000.0,10-Q
BAC,Cash,2016-02-24,2014-12-31,138589000000.0,10-K
BAC,Cash,2015-10-30,2014-12-31,138589000000.0,10-Q
BAC,Cash,2015-07-29,2014-12-31,138589000000.0,10-Q
BAC,Cash,2015-04-29,2014-12-31,138589000000.0,10-Q
BAC,Cash,2015-02-25,2014-12-31,138589000000.0,10-K
BAC,Cash,2016-05-02,2015-03-31,162543000000.0,10-Q
BAC,Cash,2015-04-29,2015-03-31,162543000000.0,10-Q
BAC,Cash,2015-07-29,2015-06-30,163514000000.0,10-Q
BAC,Cash,2015-10-30,2015-09-30,170426000000.0,10-Q
BAC,Cash,2016-05-02,2015-12-31,159353000000.0,10-Q
BAC,Cash,2016-02-24,2015-12-31,159353000000.0,10-K
BAC,Cash,2016-05-02,2016-03-31,179610000000.0,10-Q
BRK-A,Revenue,2013-03-01,2010-12-31,136185000000.0,10-K
BRK-A,Revenue,2013-03-01,2011-03-31,33720000000.0,10-K
BRK-A,Revenue,2013-03-01,2011-06-30,38274000000.0,10-K
BRK-A,Revenue,2013-03-01,2011-09-30,33739000000.0,10-K
BRK-A,Revenue,2013-03-01,2011-12-31,143688000000.0,10-K
BRK-A,Revenue,2014-03-03,2011-12-31,143688000000.0,10-K
BRK-A,Revenue,2013-03-01,2011-12-31,37955000000.0,10-K
BRK-A,Revenue,2013-03-01,2012-03-31,38147000000.0,10-K
BRK-A,Revenue,2013-05-03,2012-03-31,38147000000.0,10-Q
BRK-A,Revenue,2014-03-03,2012-03-31,38147000000.0,10-K
BRK-A,Revenue,2013-08-02,2012-06-30,76693000000.0,10-Q
BRK-A,Revenue,2013-03-01,2012-06-30,38546000000.0,10-K
BRK-A,Revenue,2013-08-02,2012-06-30,38546000000.0,10-Q
BRK-A,Revenue,2014-03-03,2012-06-30,38546000000.0,10-K
BRK-A,Revenue,2013-11-01,2012-09-30,117743000000.0,10-Q
BRK-A,Revenue,2013-03-01,2012-09-30,41050000000.0,10-K
BRK-A,Revenue,2013-11-01,2012-09-30,41050000000.0,10-Q
BRK-A,Revenue,2014-03-03,2012-09-30,41050000000.0,10-K
BRK-A,Revenue,2013-03-01,2012-12-31,162463000000.0,10-K
BRK-A,Revenue,2014-03-03,2012-12-31,162463000000.0,10-K
BRK-A,Revenue,2015-03-02,2012-12-31,162463000000.0,10-K
BRK-A,Revenue,2013-03-01,2012-12-31,44720000000.0,10-K
BRK-A,Revenue,2014-03-03,2012-12-31,44720000000.0,10-K
BRK-A,Revenue,2013-05-03,2013-03-31,43867000000.0,10-Q
BRK-A,Revenue,2014-03-03,2013-03-31,43867000000.0,10-K
BRK-A,Revenue,2014-05-02,2013-03-31,43867000000.0,10-Q
BRK-A,Revenue,2015-03-02,2013-03-31,43867000000.0,10-K
BRK-A,Revenue,2013-08-02,2013-06-30,88560000000.0,10-Q
BRK-A,Revenue,2014-08-01,2013-06-30,88560000000.0,10-Q
BRK-A,Revenue,2013-08-02,2013-06-30,44693000000.0,10-Q
BRK-A,Revenue,2014-03-03,2013-06-30,44693000000.0,10-K
BRK-A,Revenue,2014-08-01,2013-06-30,44693000000.0,10-Q
BRK-A,Revenue,2015-03-02,2013-06-30,44693000000.0,10-K
BRK-A,Revenue,2013-11-01,2013-09-30,135101000000.0,10-Q
BRK-A,Revenue,2014-11-07,2013-09-30,135101000000.0,10-Q
BRK-A,Revenue,2013-11-01,2013-09-30,46541000000.0,10-Q
BRK-A,Revenue,2014-03-03,2013-09-30,46541000000.0,10-K
BRK-A,Revenue,2014-11-07,2013-09-30,46541000000.0,10-Q
BRK-A,Revenue,2015-03-02,2013-09-30,46541000000.0,10-K
BRK-A,Revenue,2014-03-03,2013-12-31,182150000000.0,10-K
BRK-A,Revenue,2015-03-02,2013-12-31,182150000000.0,10-K
BRK-A,Revenue,2016-02-29,2013-12-31,182150000000.0,10-K
BRK-A,Revenue,2014-03-03,2013-12-31,47049000000.0,10-K
BRK-A,Revenue,2015-03-02,2013-12-31,47049000000.0,10-K
BRK-A,Revenue,2014-05-02,2014-03-31,45453000000.0,10-Q
BRK-A,Revenue,2015-03-02,2014-03-31,45453000000.0,10-K
BRK-A,Revenue,2015-05-01,2014-03-31,45453000000.0,10-Q
BRK-A,Revenue,2016-02-29,2014-03-31,45453000000.0,10-K
BRK-A,Revenue,2014-08-01,2014-06-30,95215000000.0,10-Q
BRK-A,Revenue,2015-08-07,2014-06-30,95215000000.0,10-Q
BRK-A,Revenue,2014-08-01,2014-06-30,49762000000.0,10-Q
BRK-A,Revenue,2015-03-02,2014-06-30,49762000000.0,10-K
BRK-A,Revenue,2015-08-07,2014-06-30,49762000000.0,10-Q
BRK-A,Revenue,2016-02-29,2014-06-30,49762000000.0,10-K
BRK-A,Revenue,2014-11-07,2014-09-30,146414000000.0,10-Q
BRK-A,Revenue,2015-11-06,2014-09-30,146414000000.0,10-Q
